Precinct No.,Precinct Name,Active,Inactive
0521,521 - BROOK HILL,2160,152
0522,522 - CAMELOT,1446,70
0523,523 - POE,2613,193
0525,525 - WALNUT HILL,3523,300
0526,526 - BREN MAR,3315,439
0527,527 - EDSALL,2058,134
0528,528 - RIDGELEA,1287,49
0601,601 - BELLE HAVEN,2255,142
0602,602 - BELLEVIEW,2432,433
0604,604 - BUCKNELL,4084,538
0605,605 - FORT HUNT,2370,208
0606,606 - HOLLIN HALL,2549,179
0607,607 - HUNTINGTON,4045,682
0608,608 - KIRKSIDE,2075,130
0609,609 - MARLAN,2210,212
0610,610 - SHERWOOD,2327,150
0611,611 - STRATFORD,3001,229
0612,612 - WAYNEWOOD,1321,110
0613,613 - WESTGATE,3970,853
0614,614 - RIVERSIDE,2081,153
0615,615 - WOODLEY,2786,402
0616,616 - GUNSTON,2344,344
0617,617 - LORTON,2248,213
0618,618 - NEWINGTON,4840,433
0619,619 - BELVOIR,2533,707
0621,621 - GROSVENOR,2195,549
0622,622 - LORTON STATION,3289,704
0623,623 - ALBAN,1400,94
0625,625 - LORTON CENTER,2018,156
0626,626 - SARATOGA,4981,421
0627,627 - WOODLAWN,3752,470
0628,628 - LAUREL HILL,3661,275
0629,629 - SOUTH COUNTY,2832,210
0701,701 - BLAKE,4709,618
0703,703 - FORT BUFFALO,1595,212
0704,704 - FREEDOM HILL,2182,111
0705,705 - GRAHAM - GREENWAY,3376,242
0707,707 - MANTUA,2391,128
0708,708 - MARSHALL,4853,764
0709,709 - MOSBY,3330,434
0710,710 - PINE SPRING,2393,289
0711,711 - PRICE,2083,199
0712,712 - SHREVE,1423,83
0713,713 - TIMBER LANE,3086,283
0714,714 - WALKER,3616,328
0717,717 - WOODBURN,1935,358
0718,718 - PINE RIDGE,2427,193
0719,719 - STENWOOD,1035,74
0720,720 - THOREAU,1725,119
0721,721 - MERRIFIELD,3977,624
0726,726 - MAGARITY,3719,627
0727,727 - OAKTON,2614,155
0729,729 - NOTTOWAY,3814,361
0730,730 - PENDERBROOK,3534,386
0731,731 - TYSONS,3092,622
0732,732 - OAK MARR,3777,324
0733,733 - KILMER,4092,270
0734,734 - HUNTERS BRANCH,1822,327
0801,801 - BURKE,4827,355
0802,802 - CEDAR LAKE,1257,327
0803,803 - CLIFTON,4393,139
0804,804 - COLCHESTER,1796,124
0805,805 - FAIRFAX STATION,1646,117
0806,806 - SYDENSTRICKER,3224,285
0807,807 - HUNT VALLEY,2215,126
0811,811 - POHICK,2089,163
0812,812 - VALLEY,2881,209
0815,815 - WOODYARD,2751,159
0824,824 - ORANGE,4084,241
0825,825 - CHERRY RUN,2891,205
0827,827 - IRVING,2491,229
0833,833 - WHITE OAKS,3144,171
0838,838 - SANGSTER,2390,150
0839,839 - SILVERBROOK,3612,166
0840,840 - WEST SPRINGFIELD,3019,236
0841,841 - POPES HEAD,1643,93
0842,842 - PARKWAY,2427,119
0843,843 - FAIR LAKES,3329,392
0844,844 - CENTERPOINTE,2707,806
0845,845 - FOUNTAINHEAD,4055,163
0846,846 - GREENBRIAR EAST,3414,796
0847,847 - GREENBRIAR WEST,2234,468
0848,848 - FAIR OAKS,3263,415
0849,849 - NEWGATE NORTH,1722,152
0850,850 - SOUTH RUN,3049,197
0851,851 - WILLOW SPRINGS,2774,141
0854,854 - NEWGATE SOUTH,3203,225
0901,901 - CENTRE RIDGE,4611,617
0902,902 - BROOKFIELD,3840,484
0903,903 - CUB RUN,3816,527
0904,904 - DULLES,1781,139
0905,905 - FRANKLIN,933,44
0908,908 - KINROSS EAST,2470,138
0909,909 - KINROSS WEST,2273,101
0910,910 - LONDON TOWNE #1,3809,339
0911,911 - NAVY,3501,175
0913,913 - ROCKY RUN,4166,326
0914,914 - VALE,2381,122
0915,915 - VIRGINIA RUN,2828,170
0916,916 - WAPLES MILL,4529,194
0917,917 - STONE NORTH,1916,192
0918,918 - CENTREVILLE,4418,589
0919,919 - GREEN TRAILS,3941,580
0920,920 - CHANTILLY,3013,189
0921,921 - DEER PARK,3319,320
0923,923 - BULL RUN,2200,113
